date,sales,profit,discount,quantity,region,category,segment,day_of_week,month,year,is_weekend,is_holiday_season,customers,sales_lag_1,sales_lag_7,sales_lag_30,sales_rolling_7,sales_rolling_30
2022-01-12,1708.75,397.5562,0.1285714285714286,45,South,Office Supplies,Consumer,2,1,2022,0,0,45,6034.406,1902.4679999999998,1408.044,3131.733971428571,2896.698233333333
2022-01-13,1834.248,356.9662,0.08571428571428573,54,West,Office Supplies,Consumer,3,1,2022,0,0,54,1708.75,4964.5528,1408.044,2684.5475714285717,2814.9712923076922
2022-01-14,1765.942,133.79510000000002,0.12142857142857144,51,East,Office Supplies,Consumer,4,1,2022,0,0,51,1834.248,2491.2239999999997,1408.044,2580.935857142857,2740.0406285714284
2022-01-15,2211.2400000000002,481.9182,0.19285714285714287,61,West,Office Supplies,Consumer,5,1,2022,1,0,61,1765.942,2314.11,1408.044,2566.2401428571425,2704.7872533333334
2022-01-16,2177.004,453.0682,0.13571428571428573,69,West,Office Supplies,Consumer,6,1,2022,1,0,69,2211.2400000000002,1575.4969999999998,1408.044,2652.1697142857142,2671.8008
2022-01-17,4586.03,206.6316,0.10714285714285714,50,East,Furniture,Consumer,0,1,2022,0,0,50,2177.004,2833.598,1408.044,2902.5171428571425,2784.4025176470586
2022-01-18,2947.894,598.3451,0.17142857142857146,51,Central,Office Supplies,Consumer,1,1,2022,0,0,51,4586.03,6034.406,1408.044,2461.5868571428573,2793.4853777777776
2022-01-19,6183.384,1354.4000999999998,0.16428571428571428,48,East,Office Supplies,Consumer,2,1,2022,0,0,48,2947.894,1708.75,1408.044,3100.8202857142855,2971.901094736842
2022-01-20,2679.904,443.6958,0.1285714285714286,51,West,Office Supplies,Consumer,3,1,2022,0,0,51,6183.384,1834.248,1408.044,3221.628285714286,2957.30124
2022-01-21,4219.304,262.1562,0.12142857142857143,62,South,Office Supplies,Consumer,4,1,2022,0,0,62,2679.904,1765.942,1408.044,3572.108571428572,3017.3966095238097
2022-01-22,5027.567,834.4394000000001,0.12857142857142856,62,West,Office Supplies,Consumer,5,1,2022,1,0,62,4219.304,2211.2400000000002,1408.044,3974.441,3108.7679909090907
2022-01-23,863.366,187.8598,0.14285714285714285,65,East,Office Supplies,Consumer,6,1,2022,1,0,65,5027.567,2177.004,1408.044,3786.778428571429,3011.141817391304
2022-01-24,820.086,208.8481,0.08571428571428573,48,West,Office Supplies,Consumer,0,1,2022,0,0,48,863.366,4586.03,1408.044,3248.7864285714286,2919.8478250000003
2022-01-25,663.484,204.9652,0.15714285714285717,46,East,Office Supplies,Consumer,1,1,2022,0,0,46,820.086,2947.894,1408.044,2922.442142857143,2829.593272
2022-01-26,3801.37,354.4474,0.20714285714285713,52,Central,Office Supplies,Consumer,2,1,2022,0,0,52,663.484,6183.384,1408.044,2582.154428571429,2866.9692999999997
2022-01-27,6457.686,128.17979999999994,0.225,74,West,Office Supplies,Consumer,3,1,2022,0,0,74,3801.37,2679.904,1408.044,3121.837571428571,2999.958807407407
2022-01-28,3389.016,630.4832,0.15,52,South,Office Supplies,Consumer,4,1,2022,0,0,52,6457.686,4219.304,1408.044,3003.225,3013.8537071428573
2022-01-29,4183.486,847.8944,0.14285714285714285,47,Central,Office Supplies,Consumer,5,1,2022,1,0,47,3389.016,5027.567,1408.044,2882.642,3054.185855172414
2022-01-30,2406.907,1009.3424,0.1571428571428571,54,East,Office Supplies,Consumer,6,1,2022,1,0,54,4183.486,863.366,1408.044,3103.147857142857,3032.6098933333333
2022-01-31,2078.15,113.33850000000004,0.1357142857142857,51,East,Office Supplies,Consumer,0,1,2022,0,0,51,2406.907,820.086,1408.044,3282.8712857142855,3054.9467600000003
2022-02-01,13131.044,4516.1684000000005,0.1357142857142857,48,East,Office Supplies,Corporate,1,2,2022,0,0,48,2078.15,663.484,1977.236,5063.951285714285,3426.7403600000002
2022-02-02,1392.284,270.7219,0.12142857142857143,54,West,Office Supplies,Consumer,2,2,2022,0,0,54,13131.044,3801.37,2992.8019999999997,4719.796142857143,3373.38976
2022-02-03,3924.071,338.3205,0.1392857142857143,76,West,Office Supplies,Corporate,3,2,2022,0,0,76,1392.284,6457.686,4557.691,4357.851142857143,3352.2690933333333
2022-02-04,2330.915,93.58329999999998,0.23214285714285715,59,West,Office Supplies,Consumer,4,2,2022,0,0,59,3924.071,3389.016,1902.4679999999998,4206.693857142857,3366.5506600000003
2022-02-05,7489.634,-761.277,0.15714285714285717,62,East,Office Supplies,Consumer,5,2,2022,1,0,62,2330.915,4183.486,4964.5528,4679.000714285714,3450.720033333333
2022-02-06,3400.3740000000003,195.005,0.16428571428571428,47,Central,Office Supplies,Consumer,6,2,2022,1,0,47,7489.634,2406.907,2491.2239999999997,4820.924571428572,3481.0250333333333
2022-02-07,2954.252,248.52370000000002,0.08571428571428573,38,East,Office Supplies,Consumer,0,2,2022,0,0,38,3400.3740000000003,2078.15,2314.11,4946.082,3502.3631
2022-02-08,2370.663,250.8852,0.12142857142857144,64,East,Furniture,Consumer,1,2,2022,0,0,64,2954.252,13131.044,1575.4969999999998,3408.8847142857144,3528.868633333333
2022-02-09,1164.328,-98.84100000000001,0.2785714285714286,44,East,Office Supplies,Corporate,2,2,2022,0,0,44,2370.663,1392.284,2833.598,3376.3195714285716,3473.2263
2022-02-10,1517.974,132.8484,0.1285714285714286,41,West,Office Supplies,Corporate,3,2,2022,0,0,41,1164.328,3924.071,6034.406,3032.5914285714284,3322.678566666667
2022-02-11,1693.658,318.9563,0.07857142857142858,48,East,Office Supplies,Corporate,4,2,2022,0,0,48,1517.974,2330.915,1708.75,2941.5547142857145,3322.1755
2022-02-12,1675.82,315.551,0.1464285714285714,80,West,Office Supplies,Corporate,5,2,2022,1,0,80,1693.658,7489.634,1834.248,2111.009857142857,3316.894566666667
2022-02-13,3915.404,939.7048000000001,0.17142857142857146,67,Central,Office Supplies,Consumer,6,2,2022,1,0,67,1675.82,3400.3740000000003,1765.942,2184.5855714285713,3388.5433
2022-02-14,5092.002,264.82859999999994,0.15357142857142855,70,West,Furniture,Consumer,0,2,2022,0,0,70,3915.404,2954.252,2211.2400000000002,2489.978428571429,3484.5687000000003
2022-02-15,2707.6036,-80.1982,0.08,45,Central,Office Supplies,Consumer,1,2,2022,0,0,45,5092.002,2370.663,2177.004,2538.1128,3502.2553533333335
2022-02-16,2119.403,312.2382,0.1285714285714286,38,Central,Office Supplies,Consumer,2,2,2022,0,0,38,2707.6036,1164.328,4586.03,2674.552085714286,3420.034453333333
2022-02-17,2455.664,386.1277,0.18571428571428572,61,Central,Office Supplies,Corporate,3,2,2022,0,0,61,2119.403,1517.974,2947.894,2808.5078,3403.6267866666667
2022-02-18,3088.026,651.6983,0.05714285714285715,58,South,Office Supplies,Consumer,4,2,2022,0,0,58,2455.664,1693.658,6183.384,3007.703228571429,3300.4481866666665
2022-02-19,1618.672,83.7731,0.08571428571428573,64,West,Office Supplies,Corporate,5,2,2022,1,0,64,3088.026,1675.82,2679.904,2999.539228571429,3265.073786666667
2022-02-20,7596.0960000000005,1783.7954,0.17142857142857143,61,West,Office Supplies,Consumer,6,2,2022,1,0,61,1618.672,3915.404,4219.304,3525.352371428572,3377.6335200000003
2022-02-21,2064.572,371.50849999999997,0.15,55,West,Office Supplies,Consumer,0,2,2022,0,0,55,7596.0960000000005,5092.002,5027.567,3092.8623714285714,3278.86702
2022-02-22,3318.272,-247.63259999999985,0.19999999999999998,52,East,Office Supplies,Home Office,1,2,2022,0,0,52,2064.572,2707.6036,863.366,3180.1007142857147,3360.6972200000005
2022-02-23,3061.686,540.0694,0.1285714285714286,62,Central,Office Supplies,Consumer,2,2,2022,0,0,62,3318.272,2119.403,820.086,3314.7125714285717,3435.4172200000003
2022-02-24,2019.006,-221.119,0.2,69,East,Office Supplies,Consumer,3,2,2022,0,0,69,3061.686,2455.664,663.484,3252.3328571428574,3480.6012866666665
2022-02-25,1587.1460000000002,200.0506,0.22142857142857145,40,East,Office Supplies,Corporate,4,2,2022,0,0,40,2019.006,3088.026,3801.37,3037.921428571429,3406.7938200000003
2022-02-26,1948.728,193.0819,0.22857142857142856,59,East,Office Supplies,Consumer,5,2,2022,1,0,59,1587.1460000000002,1618.672,6457.686,3085.072285714286,3256.49522
2022-02-27,1875.648,410.0756,0.21428571428571427,56,West,Office Supplies,Consumer,6,2,2022,1,0,56,1948.728,7596.0960000000005,3389.016,2267.8654285714283,3206.04962
2022-02-28,1648.5720000000001,463.3639,0.12142857142857144,60,East,Office Supplies,Corporate,0,2,2022,0,0,60,1875.648,2064.572,4183.486,2208.436857142857,3121.5524866666665
2022-03-01,715.799,72.7447,0.18571428571428572,60,East,Office Supplies,Corporate,1,3,2022,0,0,60,1648.5720000000001,3318.272,2406.907,1836.6550000000002,3065.18222
2022-03-02,3370.11,899.2374,0.1,75,West,Office Supplies,Corporate,2,3,2022,0,0,75,715.799,3061.686,2078.15,1880.7155714285716,3108.247553333333
2022-03-03,1711.344,289.1772,0.1,47,West,Office Supplies,Consumer,3,3,2022,0,0,47,3370.11,2019.006,13131.044,1836.7638571428572,2727.5908866666664
2022-03-04,1674.94,305.894,0.25,39,East,Office Supplies,Consumer,4,3,2022,0,0,39,1711.344,1587.1460000000002,1392.284,1849.3058571428573,2737.0127533333334
2022-03-05,2753.2000000000003,660.6751,0.07142857142857142,70,South,Office Supplies,Consumer,5,3,2022,1,0,70,1674.94,1948.728,3924.071,1964.2304285714288,2697.9837200000006
2022-03-06,2852.9680000000003,-235.5711,0.15,52,East,Office Supplies,Consumer,6,3,2022,1,0,52,2753.2000000000003,1875.648,2330.915,2103.8475714285714,2715.3854866666666
2022-03-07,2625.761,137.50189999999998,0.24285714285714285,62,Central,Office Supplies,Consumer,0,3,2022,0,0,62,2852.9680000000003,1648.5720000000001,7489.634,2243.4460000000004,2553.256386666667
2022-03-08,4727.89,1424.0403999999999,0.17857142857142858,67,East,Office Supplies,Consumer,1,3,2022,0,0,67,2625.761,715.799,3400.3740000000003,2816.601857142857,2597.50692
2022-03-09,1348.728,306.7469,0.08571428571428573,45,East,Office Supplies,Consumer,2,3,2022,0,0,45,4727.89,3370.11,2954.252,2527.8329999999996,2543.9894533333336
2022-03-10,3990.0860000000002,471.13599999999997,0.05,45,East,Office Supplies,Consumer,3,3,2022,0,0,45,1348.728,1711.344,2370.663,2853.3675714285714,2597.97022
2022-03-11,4271.113,410.9645,0.14285714285714285,48,South,Office Supplies,Consumer,4,3,2022,0,0,48,3990.0860000000002,1674.94,1164.328,3224.249428571429,2701.52972
2022-03-12,4191.8615,-1913.9447000000002,0.275,64,East,Office Supplies,Consumer,5,3,2022,1,0,64,4271.113,2753.2000000000003,1517.974,3429.7725,2790.659303333334
2022-03-13,2042.106,84.34669999999993,0.1357142857142857,60,Central,Office Supplies,Consumer,6,3,2022,1,0,60,4191.8615,2852.9680000000003,1693.658,3313.9350714285715,2802.2742366666666
2022-03-14,4115.457,488.593,0.16785714285714287,46,West,Office Supplies,Consumer,0,3,2022,0,0,46,2042.106,2625.761,1675.82,3526.7487857142864,2883.59547
2022-03-15,1165.2640000000001,177.8045,0.12142857142857144,42,Central,Office Supplies,Consumer,1,3,2022,0,0,42,4115.457,4727.89,3915.404,3017.8022142857144,2791.9241366666665
2022-03-16,2302.75,665.0236,0.1642857142857143,50,East,Office Supplies,Consumer,2,3,2022,0,0,50,1165.2640000000001,1348.728,5092.002,3154.0910714285715,2698.94907
2022-03-17,2648.596,359.1362,0.20714285714285716,51,East,Office Supplies,Consumer,3,3,2022,0,0,51,2302.75,3990.0860000000002,2707.6036,2962.4496428571433,2696.9821500000003
2022-03-18,4277.794,307.57859999999994,0.09999999999999999,60,Central,Office Supplies,Consumer,4,3,2022,0,0,60,2648.596,4271.113,2119.403,2963.4040714285716,2768.928516666667
2022-03-19,2157.078,325.9597,0.18571428571428572,56,Central,Office Supplies,Consumer,5,3,2022,1,0,56,4277.794,4191.8615,2455.664,2672.7207142857146,2758.9756500000003
2022-03-20,3583.1620000000003,757.4487,0.08571428571428573,51,West,Office Supplies,Consumer,6,3,2022,1,0,51,2157.078,2042.106,3088.026,2892.8715714285718,2775.4801833333336
2022-03-21,4763.604,532.4854,0.18571428571428572,51,East,Office Supplies,Consumer,0,3,2022,0,0,51,3583.1620000000003,4115.457,1618.672,2985.464,2880.3112499999997
2022-03-22,9841.782000000001,2447.5126999999998,0.14285714285714285,52,South,Office Supplies,Corporate,1,3,2022,0,0,52,4763.604,1165.2640000000001,7596.0960000000005,4224.966571428572,2955.16745
2022-03-23,4821.639999999999,-166.84569999999994,0.23214285714285715,53,Central,Office Supplies,Consumer,2,3,2022,0,0,53,9841.782000000001,2302.75,2064.572,4584.808,3047.0697166666664
2022-03-24,4636.134,919.8795,0.16428571428571428,54,West,Office Supplies,Consumer,3,3,2022,0,0,54,4821.639999999999,2648.596,3318.272,4868.742,3090.99845
2022-03-25,3934.013,-484.37839999999994,0.19285714285714287,50,East,Office Supplies,Consumer,4,3,2022,0,0,50,4636.134,4277.794,3061.686,4819.630428571429,3120.0760166666664
2022-03-26,2854.81,207.16490000000002,0.15,45,East,Office Supplies,Consumer,5,3,2022,1,0,45,3934.013,2157.078,2019.006,4919.306428571428,3147.93615
2022-03-27,4898.108,574.4846,0.1,56,East,Office Supplies,Consumer,6,3,2022,1,0,56,2854.81,3583.1620000000003,1587.1460000000002,5107.155857142857,3258.3015499999997
2022-03-28,2276.67,185.4819,0.2285714285714286,55,Central,Office Supplies,Corporate,0,3,2022,0,0,55,4898.108,4763.604,1948.728,4751.879571428572,3269.23295
2022-03-29,4616.294,732.6055999999999,0.22142857142857145,48,Central,Office Supplies,Consumer,1,3,2022,0,0,48,2276.67,9841.782000000001,1875.648,4005.381285714286,3360.587816666667
2022-03-30,2069.3250000000003,116.8949,0.24285714285714288,57,Central,Office Supplies,Consumer,2,3,2022,0,0,57,4616.294,4821.639999999999,1648.5720000000001,3612.193428571429,3374.612916666667
2022-03-31,2649.104,-250.27929999999998,0.2714285714285714,50,West,Furniture,Consumer,3,3,2022,0,0,50,2069.3250000000003,4636.134,715.799,3328.332,3439.056416666667
2022-04-01,4484.216,1157.3227,0.08571428571428572,54,West,Office Supplies,Corporate,4,4,2022,0,0,54,2649.104,3934.013,3370.11,3406.9324285714288,3476.1932833333335
2022-04-02,5466.892,1389.2803,0.042857142857142864,50,West,Office Supplies,Consumer,5,4,2022,1,0,50,4484.216,2854.81,1711.344,3780.087,3601.3782166666665
2022-04-03,1807.499,352.9573,0.1642857142857143,58,West,Office Supplies,Consumer,6,4,2022,1,0,58,5466.892,4898.108,1674.94,3338.5714285714284,3605.79685
2022-04-04,3245.19,444.8662,0.15714285714285717,61,Central,Office Supplies,Consumer,0,4,2022,0,0,61,1807.499,2276.67,2753.2000000000003,3476.931428571429,3622.1965166666664
2022-04-05,1326.211,249.541,0.1357142857142857,55,West,Office Supplies,Consumer,1,4,2022,0,0,55,3245.19,4616.294,2852.9680000000003,3006.9195714285715,3571.304616666667
2022-04-06,2230.066,338.3767,0.14285714285714285,48,West,Office Supplies,Consumer,2,4,2022,0,0,48,1326.211,2069.3250000000003,2625.761,3029.8825714285713,3558.1147833333334
2022-04-07,1264.204,171.95420000000001,0.16785714285714287,44,East,Office Supplies,Consumer,3,4,2022,0,0,44,2230.066,2649.104,4727.89,2832.0397142857146,3442.6585833333334
2022-04-08,1925.5,297.6675,0.19999999999999998,46,Central,Furniture,Corporate,4,4,2022,0,0,46,1264.204,4484.216,1348.728,2466.5088571428573,3461.884316666667
2022-04-09,2457.208,561.322,0.0642857142857143,45,East,Office Supplies,Corporate,5,4,2022,1,0,45,1925.5,5466.892,3990.0860000000002,2036.554,3410.7883833333335
2022-04-10,4993.044,208.51329999999996,0.18214285714285713,53,West,Furniture,Consumer,6,4,2022,1,0,53,2457.208,1807.499,4271.113,2491.6318571428574,3434.8527499999996
2022-04-11,5048.4392,681.4522000000001,0.12285714285714287,58,Central,Office Supplies,Consumer,0,4,2022,0,0,58,4993.044,3245.19,4191.8615,2749.238885714286,3463.40534
2022-04-12,3953.464,-0.28549999999994274,0.17142857142857143,53,South,Office Supplies,Consumer,1,4,2022,0,0,53,5048.4392,1326.211,2042.106,3124.560742857143,3527.117273333333
2022-04-13,1574.444,84.4329,0.13571428571428573,50,East,Office Supplies,Consumer,2,4,2022,0,0,50,3953.464,2230.066,4115.457,3030.900457142857,3442.41684
2022-04-14,6305.318,1550.6558,0.08571428571428573,60,Central,Office Supplies,Consumer,3,4,2022,0,0,60,1574.444,1264.204,1165.2640000000001,3751.0596,3613.7519733333334
2022-04-15,5064.651800000001,893.0479999999999,0.18357142857142855,61,Central,Furniture,Corporate,4,4,2022,0,0,61,6305.318,1925.5,2302.75,4199.509857142857,3705.815366666667
2022-04-16,3849.048,431.2858,0.1642857142857143,59,Central,Office Supplies,Consumer,5,4,2022,1,0,59,5064.651800000001,2457.208,2648.596,4398.344142857143,3745.8304333333335
2022-04-17,2000.616,421.9162,0.18571428571428572,55,West,Office Supplies,Consumer,6,4,2022,1,0,55,3849.048,4993.044,4277.794,3970.8544285714283,3669.9245
2022-04-18,6774.611,808.7451,0.11785714285714285,65,West,Office Supplies,Corporate,0,4,2022,0,0,65,2000.616,5048.4392,2157.078,4217.4504,3823.8422666666665
2022-04-19,1752.754,-265.9452,0.18571428571428572,47,Central,Office Supplies,Consumer,1,4,2022,0,0,47,6774.611,3953.464,3583.1620000000003,3903.063257142857,3762.828666666667
2022-04-20,2266.4120000000003,137.8075,0.12142857142857144,46,West,Office Supplies,Consumer,2,4,2022,0,0,46,1752.754,1574.444,4763.604,4001.9158285714284,3679.588933333333
2022-04-21,5492.862,1696.5943,0.15714285714285717,51,East,Office Supplies,Corporate,3,4,2022,0,0,51,2266.4120000000003,6305.318,9841.782000000001,3885.8506857142856,3534.6249333333335
2022-04-22,1387.29,84.34760000000001,0.09999999999999999,63,Central,Office Supplies,Consumer,4,4,2022,0,0,63,5492.862,5064.651800000001,4821.639999999999,3360.5132857142858,3420.1466
2022-04-23,1699.7620000000002,507.1022,0.09285714285714286,38,East,Office Supplies,Consumer,5,4,2022,1,0,38,1387.29,3849.048,4636.134,3053.4724285714283,3322.267533333333
2022-04-24,2039.2040000000002,495.4131,0.14285714285714285,65,East,Office Supplies,Consumer,6,4,2022,1,0,65,1699.7620000000002,2000.616,3934.013,3058.985,3259.1072333333336
2022-04-25,3233.2545,-15.79650000000002,0.20357142857142857,58,Central,Office Supplies,Corporate,0,4,2022,0,0,58,2039.2040000000002,6774.611,2854.81,2553.076928571428,3271.72205
2022-04-26,2031.652,678.5594,0.09999999999999999,45,West,Office Supplies,Consumer,1,4,2022,0,0,45,3233.2545,1752.754,4898.108,2592.9195,3176.1735166666667
2022-04-27,5386.164,1011.2927999999999,0.05142857142857143,65,South,Office Supplies,Consumer,2,4,2022,0,0,65,2031.652,2266.4120000000003,2276.67,3038.5983571428574,3279.823316666667
2022-04-28,1460.984,185.9278,0.10714285714285714,35,Central,Office Supplies,Consumer,3,4,2022,0,0,35,5386.164,5492.862,4616.294,2462.6157857142857,3174.6463166666663
2022-04-29,4417.845,616.2774,0.15,58,West,Office Supplies,Consumer,4,4,2022,0,0,58,1460.984,1387.29,2069.3250000000003,2895.5522142857144,3252.9303166666664
2022-04-30,3806.878,-2706.6981,0.17142857142857146,63,East,Office Supplies,Corporate,5,4,2022,1,0,63,4417.845,1699.7620000000002,2649.104,3196.568785714286,3291.5227833333333
2022-05-01,728.036,47.324,0.12142857142857144,52,Central,Office Supplies,Consumer,6,5,2022,1,0,52,3806.878,2039.2040000000002,4484.216,3009.2590714285716,3166.3167833333337
2022-05-02,1908.241,66.59360000000001,0.14285714285714285,51,West,Office Supplies,Consumer,0,5,2022,0,0,51,728.036,3233.2545,5466.892,2819.9714285714285,3047.695083333333
2022-05-03,2015.222,337.9217,0.14285714285714285,43,Central,Office Supplies,Consumer,1,5,2022,0,0,43,1908.241,2031.652,1807.499,2817.6242857142856,3054.6191833333337
2022-05-04,2281.252,56.183200000000014,0.07857142857142858,55,East,Office Supplies,Consumer,2,5,2022,0,0,55,2015.222,5386.164,3245.19,2374.0654285714286,3022.4879166666665
2022-05-05,7102.67,2751.749,0.09999999999999999,54,South,Office Supplies,Consumer,3,5,2022,0,0,54,2281.252,1460.984,1326.211,3180.0205714285717,3215.03655
2022-05-06,5264.6140000000005,525.1045,0.10500000000000001,68,Central,Office Supplies,Consumer,4,5,2022,0,0,68,7102.67,4417.845,2230.066,3300.9875714285713,3316.18815
2022-05-07,2991.344,268.6832,0.09285714285714286,67,East,Office Supplies,Consumer,5,5,2022,1,0,67,5264.6140000000005,3806.878,1264.204,3184.4827142857143,3373.7594833333333
2022-05-08,3586.736,1153.5635,0.042857142857142864,50,East,Office Supplies,Consumer,6,5,2022,1,0,50,2991.344,728.036,1925.5,3592.868428571429,3429.1340166666664
2022-05-09,2524.3,635.9618,0.09285714285714286,35,East,Office Supplies,Consumer,0,5,2022,0,0,35,3586.736,1908.241,2457.208,3680.876857142857,3431.3704166666666
2022-05-10,3459.764,537.8202,0.15,43,West,Office Supplies,Corporate,1,5,2022,0,0,43,2524.3,2015.222,4993.044,3887.2400000000002,3380.2610833333333
2022-05-11,2207.116,430.2285,0.24285714285714285,65,East,Office Supplies,Consumer,2,5,2022,0,0,65,3459.764,2281.252,5048.4392,3876.649142857143,3285.55031
2022-05-12,5595.392,750.1803,0.15714285714285717,51,Central,Office Supplies,Consumer,3,5,2022,0,0,51,2207.116,7102.67,3953.464,3661.3237142857142,3340.2812433333334
2022-05-13,5417.648999999999,1250.6136,0.16428571428571428,49,West,Furniture,Consumer,4,5,2022,0,0,49,5595.392,5264.6140000000005,1574.444,3683.185857142857,3468.388076666667
2022-05-14,2409.6450000000004,936.4481000000001,0.1357142857142857,49,West,Office Supplies,Consumer,5,5,2022,1,0,49,5417.648999999999,2991.344,6305.318,3600.086,3338.53231
2022-05-15,9473.817000000001,-1131.0662,0.24285714285714285,52,East,Office Supplies,Consumer,6,5,2022,1,0,52,2409.6450000000004,3586.736,5064.651800000001,4441.097571428571,3485.504483333333
2022-05-16,4151.142,421.2328,0.2785714285714286,43,South,Office Supplies,Consumer,0,5,2022,0,0,43,9473.817000000001,2524.3,3849.048,4673.503571428571,3495.5742833333334
2022-05-17,5720.193,561.9870000000001,0.19285714285714287,76,South,Office Supplies,Consumer,1,5,2022,0,0,76,4151.142,3459.764,2000.616,4996.422,3619.5601833333335
2022-05-18,3086.8992000000003,-519.7685,0.15142857142857144,55,East,Office Supplies,Corporate,2,5,2022,0,0,55,5720.193,2207.116,6774.611,5122.1053142857145,3496.6364566666666
2022-05-19,4217.378,541.4920999999999,0.2642857142857143,47,East,Office Supplies,Corporate,3,5,2022,0,0,47,3086.8992000000003,5595.392,1752.754,4925.246171428572,3578.79059
2022-05-20,4243.28,276.29050000000007,0.1142857142857143,73,South,Office Supplies,Consumer,4,5,2022,0,0,73,4217.378,5417.648999999999,2266.4120000000003,4757.479171428572,3644.6861900000004
2022-05-21,4898.232,18.43699999999997,0.1285714285714286,51,West,Office Supplies,Consumer,5,5,2022,1,0,51,4243.28,2409.6450000000004,5492.862,5112.9916,3624.8651899999995
2022-05-22,1688.08,362.3929,0.05714285714285715,53,East,Office Supplies,Consumer,6,5,2022,1,0,53,4898.232,9473.817000000001,1387.29,4000.743457142857,3634.891523333333
2022-05-23,2247.058,200.111,0.16428571428571428,57,West,Office Supplies,Consumer,0,5,2022,0,0,57,1688.08,4151.142,1699.7620000000002,3728.731457142857,3653.1347233333336
2022-05-24,15480.547999999999,7123.6691,0.07142857142857142,44,West,Office Supplies,Consumer,1,5,2022,0,0,44,2247.058,5720.193,2039.2040000000002,5123.067885714286,4101.179523333333
2022-05-25,3487.772,-367.09689999999995,0.17857142857142858,57,East,Office Supplies,Consumer,2,5,2022,0,0,57,15480.547999999999,3086.8992000000003,3233.2545,5180.335428571429,4109.66344
2022-05-26,3296.3508,51.30500000000001,0.23,56,West,Office Supplies,Consumer,3,5,2022,0,0,56,3487.772,4217.378,2031.652,5048.760114285715,4151.820066666666
2022-05-27,997.676,62.6103,0.12142857142857143,50,East,Office Supplies,Consumer,4,5,2022,0,0,50,3296.3508,4243.28,5386.164,4585.1024,4005.5371333333333
2022-05-28,1760.711,228.1603,0.1285714285714286,51,Central,Office Supplies,Consumer,5,5,2022,1,0,51,997.676,4898.232,1460.984,4136.885114285715,4015.5280333333335
2022-05-29,4945.972,1068.045,0.26785714285714285,39,East,Office Supplies,Consumer,6,5,2022,1,0,39,1760.711,1688.08,4417.845,4602.2982571428565,4033.1322666666665
2022-05-30,12777.168000000001,3065.6486,0.17142857142857146,61,West,Office Supplies,Consumer,0,5,2022,0,0,61,4945.972,2247.058,3806.878,6106.5996857142845,4332.141933333333
2022-05-31,10280.582,83.59699999999998,0.17857142857142858,55,Central,Office Supplies,Consumer,1,5,2022,0,0,55,12777.168000000001,15480.547999999999,728.036,5363.7474,4650.560133333333
2022-06-01,1938.297,391.3584,0.17500000000000002,48,West,Office Supplies,Consumer,2,6,2022,0,0,48,10280.582,3487.772,1908.241,5142.393828571428,4651.562
2022-06-02,2209.1795,467.69870000000003,0.05357142857142857,69,East,Office Supplies,Consumer,3,6,2022,0,0,69,1938.297,3296.3508,2015.222,4987.083642857143,4658.02725
2022-06-03,6082.856,-453.35499999999996,0.22142857142857145,67,Central,Office Supplies,Home Office,4,6,2022,0,0,67,2209.1795,997.676,2281.252,5713.537928571429,4784.747383333333
