date,sales,profit,discount,quantity,customers,region,category,segment,day_of_week,month,year,is_weekend,is_holiday_season,sales_lag_1,sales_lag_7,sales_lag_30,sales_rolling_7,sales_rolling_30
2022-03-24,4275.28,1324.83,0.0,102,54,East,Technology,Home Office,3,3,2022,0,0,3591.13,4434.75,4336.54,4383.2585714285715,4555.863333333333
2022-03-25,4348.63,1407.48,0.0,97,62,South,Office Supplies,Home Office,4,3,2022,0,0,4275.28,4809.58,3851.94,4317.408571428571,4572.419666666667
2022-03-26,5573.84,1487.16,0.05,120,77,Central,Technology,Corporate,5,3,2022,1,0,4348.63,6101.95,4733.54,4241.964285714285,4600.429666666666
2022-03-27,6565.62,1641.48,0.05,188,90,East,Technology,Corporate,6,3,2022,1,0,5573.84,4715.96,4644.35,4506.2014285714295,4664.471999999999
2022-03-28,3294.27,583.53,0.1,54,42,Central,Office Supplies,Consumer,0,3,2022,0,0,6565.62,2980.8,5695.01,4550.982857142857,4584.4473333333335
2022-03-29,3930.39,976.96,0.15,68,52,South,Technology,Home Office,1,3,2022,0,0,3294.27,4208.11,5599.34,4511.308571428571,4528.815666666666
2022-03-30,4111.47,1021.58,0.1,115,65,South,Office Supplies,Home Office,2,3,2022,0,0,3930.39,3591.13,3617.26,4585.642857142857,4545.289333333333
2022-03-31,3487.12,658.81,0.1,96,46,Central,Office Supplies,Corporate,3,3,2022,0,0,4111.47,4275.28,4047.47,4473.048571428572,4526.611
2022-04-01,4264.05,849.36,0.0,80,62,South,Technology,Home Office,4,4,2022,0,0,3487.12,4348.63,3453.64,4460.965714285715,4553.624666666667
2022-04-02,6107.08,2107.03,0.0,188,89,West,Technology,Home Office,5,4,2022,1,0,4264.05,5573.84,3008.62,4537.142857142857,4656.906666666666
2022-04-03,6393.24,1980.46,0.05,161,93,East,Technology,Corporate,6,4,2022,1,0,6107.08,6565.62,5012.04,4512.517142857143,4702.946666666668
2022-04-04,3498.37,605.1,0.0,75,44,West,Technology,Corporate,0,4,2022,0,0,6393.24,3294.27,5087.5,4541.674285714286,4649.975666666667
2022-04-05,3696.66,577.99,0.05,89,53,West,Technology,Consumer,1,4,2022,0,0,3498.37,3930.39,5917.85,4508.284285714286,4575.936000000001
2022-04-06,4802.44,1378.03,0.1,96,66,Central,Furniture,Corporate,2,4,2022,0,0,3696.66,4111.47,3561.71,4606.994285714286,4617.2936666666665
2022-04-07,3377.1,1071.49,0.15,95,45,West,Office Supplies,Home Office,3,4,2022,0,0,4802.44,3487.12,4125.82,4591.277142857142,4592.336333333334
2022-04-08,5202.7,856.41,0.15,129,73,East,Office Supplies,Corporate,4,4,2022,0,0,3377.1,4264.05,3819.43,4725.37,4638.445333333333
2022-04-09,6383.93,1766.76,0.0,127,92,West,Office Supplies,Consumer,5,4,2022,1,0,5202.7,6107.08,4683.47,4764.92,4695.127333333334
2022-04-10,7249.73,2272.33,0.1,175,106,East,Technology,Consumer,6,4,2022,1,0,6383.93,6393.24,6069.0,4887.2757142857145,4734.485000000001
2022-04-11,3878.55,813.6,0.15,85,60,West,Office Supplies,Home Office,0,4,2022,0,0,7249.73,3498.37,5841.94,4941.587142857143,4669.038666666666
2022-04-12,3121.02,856.12,0.1,73,48,South,Furniture,Home Office,1,4,2022,0,0,3878.55,3696.66,6714.65,4859.352857142857,4549.251
2022-04-13,4632.97,793.71,0.1,150,72,East,Office Supplies,Consumer,2,4,2022,0,0,3121.02,4802.44,3796.79,4835.142857142857,4577.123666666667
2022-04-14,4052.08,957.74,0.1,82,59,West,Office Supplies,Corporate,3,4,2022,0,0,4632.97,3377.1,3886.61,4931.568571428571,4582.6393333333335
2022-04-15,5973.52,1758.91,0.0,113,84,West,Furniture,Home Office,4,4,2022,0,0,4052.08,5202.7,4390.36,5041.685714285714,4635.4113333333335
2022-04-16,7005.46,2154.01,0.05,203,106,West,Technology,Corporate,5,4,2022,1,0,5973.52,6383.93,4434.75,5130.475714285714,4721.101666666667
2022-04-17,5749.99,1815.57,0.1,114,77,South,Technology,Corporate,6,4,2022,1,0,7005.46,7249.73,4809.58,4916.227142857142,4752.448666666666
2022-04-18,3794.24,923.14,0.15,111,54,South,Office Supplies,Consumer,0,4,2022,0,0,5749.99,3878.55,6101.95,4904.182857142857,4675.525
2022-04-19,3913.84,873.12,0.1,101,57,East,Technology,Consumer,1,4,2022,0,0,3794.24,3121.02,4715.96,5017.442857142857,4648.787666666666
2022-04-20,4280.15,1224.13,0.2,82,63,West,Furniture,Consumer,2,4,2022,0,0,3913.84,4632.97,2980.8,4967.04,4692.099333333334
2022-04-21,3688.32,791.4,0.1,69,49,East,Office Supplies,Corporate,3,4,2022,0,0,4280.15,4052.08,4208.11,4915.074285714285,4674.773
2022-04-22,4568.1,926.52,0.15,104,60,West,Furniture,Corporate,4,4,2022,0,0,3688.32,5973.52,3591.13,4714.3,4707.3386666666665
2022-04-23,6187.94,1142.74,0.15,110,90,East,Furniture,Corporate,5,4,2022,1,0,4568.1,7005.46,4275.28,4597.511428571429,4771.094
2022-04-24,5550.99,1404.59,0.0,116,82,East,Office Supplies,Consumer,6,4,2022,1,0,6187.94,5749.99,4348.63,4569.0828571428565,4811.172666666666
2022-04-25,4427.06,929.33,0.0,109,63,South,Office Supplies,Corporate,0,4,2022,0,0,5550.99,3794.24,5573.84,4659.4857142857145,4772.946666666668
2022-04-26,3936.98,740.69,0.0,121,58,East,Office Supplies,Corporate,1,4,2022,0,0,4427.06,3913.84,6565.62,4662.791428571429,4685.325333333333
2022-04-27,4506.15,1093.88,0.1,100,67,West,Office Supplies,Corporate,2,4,2022,0,0,3936.98,4280.15,3294.27,4695.077142857143,4725.721333333333
2022-04-28,5182.07,855.56,0.0,95,73,Central,Technology,Corporate,3,4,2022,0,0,4506.15,3688.32,3930.39,4908.47,4767.444
2022-04-29,5264.7,1506.56,0.2,156,78,Central,Office Supplies,Consumer,4,4,2022,0,0,5182.07,4568.1,4111.47,5007.984285714286,4805.885
2022-04-30,4912.15,1288.38,0.05,99,71,East,Furniture,Consumer,5,4,2022,1,0,5264.7,6187.94,3487.12,4825.728571428571,4853.386
2022-05-01,6470.59,1285.28,0.0,127,89,West,Technology,Home Office,6,5,2022,1,0,4912.15,5550.99,4264.05,4957.099999999999,4926.937333333333
2022-05-02,3796.74,1050.36,0.0,77,51,East,Furniture,Consumer,0,5,2022,0,0,6470.59,4427.06,6107.08,4867.0542857142855,4849.926
2022-05-03,3491.17,705.17,0.15,115,55,West,Furniture,Corporate,1,5,2022,0,0,3796.74,3936.98,6393.24,4803.367142857142,4753.190333333333
2022-05-04,4196.34,1278.91,0.0,119,59,East,Technology,Consumer,2,5,2022,0,0,3491.17,4506.15,3498.37,4759.108571428571,4776.456
2022-05-05,4482.71,1451.02,0.0,123,63,South,Furniture,Corporate,3,5,2022,0,0,4196.34,5182.07,3696.66,4659.2,4802.657666666666
2022-05-06,4409.4,1282.6,0.05,104,62,West,Office Supplies,Consumer,4,5,2022,0,0,4482.71,5264.7,4802.44,4537.0142857142855,4789.556333333332
2022-05-07,5671.09,1302.22,0.2,160,79,East,Technology,Home Office,5,5,2022,1,0,4409.4,4912.15,3377.1,4645.434285714286,4866.022666666668
2022-05-08,6832.74,1577.66,0.15,171,99,West,Office Supplies,Consumer,6,5,2022,1,0,5671.09,6470.59,5202.7,4697.17,4920.357333333333
2022-05-09,4432.88,786.29,0.0,90,64,East,Furniture,Corporate,0,5,2022,0,0,6832.74,3796.74,6383.93,4788.047142857143,4855.3223333333335
2022-05-10,3909.74,1008.88,0.05,106,58,East,Technology,Consumer,1,5,2022,0,0,4432.88,3491.17,7249.73,4847.842857142858,4743.989333333333
2022-05-11,4592.09,1366.64,0.0,72,58,Central,Office Supplies,Home Office,2,5,2022,0,0,3909.74,4196.34,3878.55,4904.378571428571,4767.774
2022-05-12,4070.63,1195.99,0.0,78,53,Central,Furniture,Corporate,3,5,2022,0,0,4592.09,4482.71,3121.02,4845.51,4799.4276666666665
2022-05-13,6592.72,1208.7,0.1,198,93,South,Furniture,Home Office,4,5,2022,0,0,4070.63,4409.4,4632.97,5157.412857142857,4864.752666666666
2022-05-14,5733.19,1212.15,0.05,139,82,West,Technology,Consumer,5,5,2022,1,0,6592.72,5671.09,4052.08,5166.284285714287,4920.789666666667
2022-05-15,5225.05,1338.52,0.1,112,70,East,Furniture,Home Office,6,5,2022,1,0,5733.19,6832.74,5973.52,4936.614285714286,4895.840666666667
2022-05-16,4202.25,1126.4,0.0,115,61,Central,Office Supplies,Home Office,0,5,2022,0,0,5225.05,4432.88,7005.46,4903.667142857143,4802.400333333333
2022-05-17,4368.63,1382.56,0.05,88,64,South,Furniture,Consumer,1,5,2022,0,0,4202.25,3909.74,5749.99,4969.222857142857,4756.355
2022-05-18,4837.0,1439.52,0.2,130,71,South,Furniture,Home Office,2,5,2022,0,0,4368.63,4592.09,3794.24,5004.21,4791.113666666667
2022-05-19,4847.53,964.64,0.1,85,69,South,Technology,Home Office,3,5,2022,0,0,4837.0,4070.63,3913.84,5115.1957142857145,4822.236666666667
2022-05-20,5275.24,1043.36,0.15,158,77,West,Furniture,Consumer,4,5,2022,0,0,4847.53,6592.72,4280.15,4926.984285714286,4855.406333333332
2022-05-21,5241.93,1671.26,0.05,139,79,Central,Technology,Home Office,5,5,2022,1,0,5275.24,5733.19,3688.32,4856.8042857142855,4907.193333333334
2022-05-22,7265.31,1999.94,0.05,196,98,East,Technology,Consumer,6,5,2022,1,0,5241.93,5225.05,4568.1,5148.2699999999995,4997.100333333334
2022-05-23,4111.05,1332.06,0.0,87,61,West,Furniture,Home Office,0,5,2022,0,0,7265.31,4202.25,6187.94,5135.2414285714285,4927.870666666667
2022-05-24,4196.39,637.42,0.0,119,56,East,Technology,Consumer,1,5,2022,0,0,4111.05,4368.63,5550.99,5110.635714285714,4882.717333333334
2022-05-25,4160.84,1334.82,0.15,93,51,West,Technology,Consumer,2,5,2022,0,0,4196.39,4837.0,4427.06,5014.041428571429,4873.843333333334
2022-05-26,4587.73,1116.94,0.0,114,59,South,Technology,Corporate,3,5,2022,0,0,4160.84,4847.53,3936.98,4976.927142857144,4895.535
2022-05-27,4683.88,1627.86,0.0,79,64,East,Furniture,Consumer,4,5,2022,0,0,4587.73,5275.24,4506.15,4892.447142857142,4901.459333333333
2022-05-28,5506.04,1055.54,0.1,166,77,South,Technology,Home Office,5,5,2022,1,0,4683.88,5241.93,5182.07,4930.177142857143,4912.258333333333
2022-05-29,7946.02,1404.07,0.2,151,111,South,Office Supplies,Home Office,6,5,2022,1,0,5506.04,7265.31,5264.7,5027.421428571429,5001.635666666666
2022-05-30,4299.18,975.13,0.0,77,59,East,Office Supplies,Corporate,0,5,2022,0,0,7946.02,4111.05,4912.15,5054.297142857143,4981.203333333334
2022-05-31,4109.64,1208.57,0.2,77,62,Central,Technology,Consumer,1,5,2022,0,0,4299.18,4196.39,6470.59,5041.904285714286,4902.505
2022-06-01,4253.47,730.49,0.1,111,57,South,Furniture,Corporate,2,6,2022,0,0,4109.64,4160.84,3796.74,5055.137142857143,4917.729333333334
2022-06-02,5192.99,1546.85,0.15,93,76,Central,Office Supplies,Home Office,3,6,2022,0,0,4253.47,4587.73,3491.17,5141.602857142857,4974.456666666667
2022-06-03,5234.59,760.6,0.15,85,69,Central,Office Supplies,Consumer,4,6,2022,0,0,5192.99,4683.88,4196.34,5220.2757142857145,5009.0650000000005
2022-06-04,5567.62,1609.84,0.0,119,82,South,Technology,Corporate,5,6,2022,1,0,5234.59,5506.04,4482.71,5229.072857142857,5045.228666666667
2022-06-05,5862.73,1406.85,0.05,172,84,East,Furniture,Corporate,6,6,2022,1,0,5567.62,7946.02,4409.4,4931.46,5093.673
2022-06-06,4921.15,1350.97,0.15,125,72,South,Furniture,Consumer,0,6,2022,0,0,5862.73,4299.18,5671.09,5020.312857142858,5068.675
2022-06-07,4328.16,1454.34,0.0,93,61,South,Furniture,Home Office,1,6,2022,0,0,4921.15,4109.64,6832.74,5051.53,4985.188999999999
2022-06-08,4125.46,594.73,0.15,124,60,Central,Technology,Corporate,2,6,2022,0,0,4328.16,4253.47,4432.88,5033.242857142856,4974.941666666667
2022-06-09,4185.87,1093.5,0.0,128,61,East,Office Supplies,Home Office,3,6,2022,0,0,4125.46,5192.99,3909.74,4889.368571428572,4984.146
2022-06-10,5796.96,880.06,0.0,101,77,East,Furniture,Corporate,4,6,2022,0,0,4185.87,5234.59,4592.09,4969.707142857143,5024.308333333333
2022-06-11,7169.72,2156.22,0.0,160,101,West,Technology,Home Office,5,6,2022,1,0,5796.96,5567.62,4070.63,5198.578571428572,5127.611333333333
2022-06-12,6650.0,1047.67,0.05,177,93,South,Furniture,Corporate,6,6,2022,1,0,7169.72,5862.73,6592.72,5311.045714285714,5129.520666666666
2022-06-13,4218.08,905.71,0.0,71,58,Central,Furniture,Home Office,0,6,2022,0,0,6650.0,4921.15,5733.19,5210.607142857143,5079.017000000001
2022-06-14,4192.73,887.65,0.2,95,65,East,Office Supplies,Home Office,1,6,2022,0,0,4218.08,4328.16,5225.05,5191.26,5044.606333333333
2022-06-15,5195.5,1463.69,0.15,110,74,South,Technology,Home Office,2,6,2022,0,0,4192.73,4125.46,4202.25,5344.122857142857,5077.714666666667
2022-06-16,4377.95,1185.39,0.05,126,59,West,Furniture,Consumer,3,6,2022,0,0,5195.5,4185.87,4368.63,5371.562857142856,5078.025333333334
2022-06-17,4204.23,1194.88,0.1,88,58,Central,Office Supplies,Consumer,4,6,2022,0,0,4377.95,5796.96,4837.0,5144.03,5056.933
2022-06-18,6685.77,1185.41,0.05,167,100,East,Office Supplies,Consumer,5,6,2022,1,0,4204.23,7169.72,4847.53,5074.894285714286,5118.207666666667
2022-06-19,6845.67,1790.02,0.1,202,99,South,Office Supplies,Corporate,6,6,2022,1,0,6685.77,6650.0,5275.24,5102.847142857143,5170.555333333334
2022-06-20,4667.46,816.98,0.0,114,68,South,Office Supplies,Corporate,0,6,2022,0,0,6845.67,4218.08,5241.93,5167.044285714285,5151.406333333333
2022-06-21,4202.2,1126.41,0.0,107,58,South,Furniture,Consumer,1,6,2022,0,0,4667.46,4192.73,7265.31,5168.397142857143,5049.3026666666665
2022-06-22,4451.51,1535.5,0.0,112,60,West,Furniture,Consumer,2,6,2022,0,0,4202.2,5195.5,4111.05,5062.112857142857,5060.651333333333
2022-06-23,4658.91,794.62,0.0,130,67,West,Furniture,Corporate,3,6,2022,0,0,4451.51,4377.95,4196.39,5102.25,5076.068666666667
2022-06-24,6405.36,1379.03,0.0,165,94,West,Office Supplies,Consumer,4,6,2022,0,0,4658.91,4204.23,4160.84,5416.697142857142,5150.8859999999995
